HR,SpO2
86.0,96.0
97.0,96.0
91.0,96.0
91.0,96.0
86.0,96.0
90.0,96.0
93.0,96.0
91.0,96.0
88.0,96.0
87.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
93.0,96.0
89.0,96.0
91.0,96.0
94.0,96.0
87.0,95.0
91.0,95.0
91.0,95.0
97.0,95.0
90.0,95.0
92.0,95.0
92.0,95.0
87.0,95.0
91.0,95.0
92.0,96.0
89.0,96.0
88.0,96.0
92.0,97.0
92.0,97.0
91.0,98.0
94.0,99.0
94.0,99.0
92.0,99.0
92.0,99.0
89.0,99.0
89.0,99.0
97.0,98.0
91.0,98.0
91.0,97.0
86.0,97.0
93.0,96.0
91.0,96.0
91.0,96.0
88.0,96.0
86.0,96.0
90.0,96.0
90.0,96.0
88.0,96.0
87.0,96.0
95.0,96.0
91.0,96.0
90.0,96.0
88.0,96.0
93.0,96.0
92.0,96.0
91.0,96.0
86.0,96.0
93.0,96.0
96.0,96.0
91.0,96.0
92.0,97.0
86.0,97.0
93.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
96.0,96.0
91.0,96.0
91.0,96.0
90.0,97.0
90.0,97.0
96.0,97.0
91.0,97.0
91.0,96.0
90.0,96.0
93.0,96.0
96.0,96.0
91.0,96.0
89.0,96.0
90.0,96.0
91.0,96.0
93.0,96.0
96.0,96.0
89.0,96.0
90.0,96.0
91.0,96.0
97.0,96.0
92.0,96.0
92.0,96.0
86.0,96.0
93.0,96.0
98.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
